Round,AvgAccuracy,AvgLoss
1,0.2,1.7807104170322419
2,0.19000000000000006,1.7675510048866272
3,0.2800000000000001,1.7491610646247864
4,0.19,1.7828614711761475
5,0.23000000000000004,1.7933736979961394
6,0.3800000000000001,1.6707767069339752
7,0.44000000000000006,1.5363682329654693
8,0.45000000000000007,1.48568696975708
9,0.5099999999999999,1.2925028413534165
10,0.5900000000000001,1.1065055191516877
11,0.7000000000000001,1.0836759150028228
12,0.82,0.9289217680692673
13,0.8699999999999999,0.759799012541771
14,0.8600000000000001,0.702886027097702
15,0.89,0.5902512535452843
16,0.8700000000000001,0.639616321027279
17,0.9100000000000001,0.5416211992502212
18,0.8400000000000001,0.5919066488742828
19,0.89,0.47873438969254495
20,0.8700000000000003,0.6208654157817364
