Client,Round,Accuracy,Loss
0,1,0.0,1.7749170064926147
1,1,0.2,1.7749557495117188
2,1,0.0,1.796277403831482
3,1,0.4,1.783129334449768
4,1,0.2,1.7767261266708374
5,1,0.4,1.7883325815200806
6,1,0.2,1.7835261821746826
7,1,0.0,1.7865371704101562
8,1,0.0,1.8136444091796875
9,1,0.0,1.8031326532363892
10,1,0.0,1.7848560810089111
11,1,0.2,1.8167225122451782
12,1,0.0,1.7992709875106812
13,1,0.6,1.7666651010513306
14,1,0.0,1.7685127258300781
15,1,0.0,1.7958478927612305
16,1,0.2,1.7769749164581299
17,1,0.4,1.7697265148162842
18,1,0.0,1.7933696508407593
19,1,0.2,1.820518136024475
0,2,0.4,1.7695424556732178
1,2,0.0,1.8115724325180054
2,2,0.2,1.8111400604248047
3,2,0.2,1.822333574295044
4,2,0.0,1.8160903453826904
5,2,0.0,1.8060537576675415
6,2,0.4,1.767780065536499
7,2,0.2,1.798743486404419
8,2,0.4,1.7646538019180298
9,2,0.2,1.7402855157852173
10,2,0.0,1.8122501373291016
11,2,0.2,1.743792176246643
12,2,0.0,1.7989593744277954
13,2,0.2,1.79889714717865
14,2,0.2,1.8129301071166992
15,2,0.2,1.77947998046875
16,2,0.2,1.789843201637268
17,2,0.2,1.7840721607208252
18,2,0.2,1.7929389476776123
19,2,0.2,1.823569655418396
0,3,0.2,1.8083741664886475
1,3,0.4,1.753259301185608
2,3,0.2,1.8146721124649048
3,3,0.2,1.78228759765625
4,3,0.2,1.776502013206482
5,3,0.2,1.7709572315216064
6,3,0.0,1.7949806451797485
7,3,0.6,1.7517242431640625
8,3,0.2,1.7439876794815063
9,3,0.2,1.7730556726455688
10,3,0.4,1.7118299007415771
11,3,0.4,1.791285514831543
12,3,0.0,1.8169116973876953
13,3,0.4,1.7408790588378906
14,3,0.0,1.8103704452514648
15,3,0.2,1.8059089183807373
16,3,0.4,1.7529151439666748
17,3,0.2,1.7954597473144531
18,3,0.2,1.8200870752334595
19,3,0.2,1.7689990997314453
0,4,0.4,1.7713253498077393
1,4,0.2,1.8013521432876587
2,4,0.0,1.8294246196746826
3,4,0.0,1.8593132495880127
4,4,0.4,1.803418755531311
5,4,0.4,1.7600330114364624
6,4,0.2,1.7811769247055054
7,4,0.0,1.8324830532073975
8,4,0.2,1.8210923671722412
9,4,0.2,1.8576475381851196
10,4,0.0,1.8243480920791626
11,4,0.2,1.7487341165542603
12,4,0.2,1.816318154335022
13,4,0.2,1.7815666198730469
14,4,0.0,1.8141075372695923
15,4,0.2,1.7668094635009766
16,4,0.6,1.710288643836975
17,4,0.4,1.7082195281982422
18,4,0.2,1.8042196035385132
19,4,0.4,1.7721258401870728
0,5,0.6,1.6796871423721313
1,5,0.4,1.7682468891143799
2,5,0.2,1.8080085515975952
3,5,0.0,1.875282645225525
4,5,0.0,1.8351366519927979
5,5,0.0,1.905713438987732
6,5,0.0,1.8600883483886719
7,5,0.2,1.7605193853378296
8,5,0.2,1.8720852136611938
9,5,0.0,1.8786284923553467
10,5,0.4,1.6779613494873047
11,5,0.4,1.7282545566558838
12,5,0.0,1.790527582168579
13,5,0.2,1.827045202255249
14,5,0.4,1.7266099452972412
15,5,0.2,1.784458875656128
16,5,0.4,1.7065635919570923
17,5,0.0,1.8488744497299194
18,5,0.2,1.7795807123184204
19,5,0.2,1.8062331676483154
0,6,0.0,1.775193452835083
1,6,0.0,1.7442480325698853
2,6,0.2,1.842934012413025
3,6,0.0,1.797289490699768
4,6,0.0,1.8260867595672607
5,6,0.0,1.9012324810028076
6,6,0.2,1.7526479959487915
7,6,0.0,1.773284912109375
8,6,0.0,1.8439829349517822
9,6,0.2,1.7826836109161377
10,6,0.0,1.8053197860717773
11,6,0.0,1.7445526123046875
12,6,0.4,1.7605912685394287
13,6,0.4,1.747260332107544
14,6,0.6,1.6957721710205078
15,6,0.2,1.8414684534072876
16,6,0.0,1.7989155054092407
17,6,0.0,1.8827400207519531
18,6,0.0,1.8730815649032593
19,6,0.2,1.7296836376190186
0,7,0.4,1.8254029750823975
1,7,0.2,1.8619155883789062
2,7,0.2,1.8062130212783813
3,7,0.2,1.8004581928253174
4,7,0.2,1.8489797115325928
5,7,0.2,1.7728828191757202
6,7,0.2,1.7360395193099976
7,7,0.2,1.7506834268569946
8,7,0.2,1.8081436157226562
9,7,0.2,1.7302322387695312
10,7,0.2,1.7980279922485352
11,7,0.2,1.7812598943710327
12,7,0.0,1.742349624633789
13,7,0.0,1.8525352478027344
14,7,0.2,1.758580207824707
15,7,0.2,1.797208547592163
16,7,0.2,1.8026645183563232
17,7,0.2,1.7572040557861328
18,7,0.2,1.850215196609497
19,7,0.0,1.916505217552185
0,8,0.2,1.7626018524169922
1,8,0.6,1.7139561176300049
2,8,0.2,1.7940534353256226
3,8,0.0,1.8370860815048218
4,8,0.0,1.9150892496109009
5,8,0.4,1.7567188739776611
6,8,0.0,1.8110971450805664
7,8,0.0,1.8483459949493408
8,8,0.2,1.7923080921173096
9,8,0.2,1.8147366046905518
10,8,0.2,1.8165407180786133
11,8,0.2,1.859244704246521
12,8,0.2,1.6719167232513428
13,8,0.2,1.8228553533554077
14,8,0.0,1.9026610851287842
15,8,0.4,1.7498756647109985
16,8,0.2,1.8502000570297241
17,8,0.2,1.857973337173462
18,8,0.0,1.886805772781372
19,8,0.6,1.6267070770263672
0,9,0.2,1.7634952068328857
1,9,0.0,1.8891080617904663
2,9,0.2,1.7710548639297485
3,9,0.2,1.744410753250122
4,9,0.4,1.669790506362915
5,9,0.2,1.8521757125854492
6,9,0.4,1.6530201435089111
7,9,0.6,1.6349776983261108
8,9,0.0,1.9103915691375732
9,9,0.0,1.8195984363555908
10,9,0.2,1.8143037557601929
11,9,0.0,1.8076997995376587
12,9,0.2,1.7202905416488647
13,9,0.2,1.7616796493530273
14,9,0.0,1.836954116821289
15,9,0.0,1.8475605249404907
16,9,0.2,1.7033050060272217
17,9,0.2,1.6580171585083008
18,9,0.2,1.812524437904358
19,9,0.2,1.7136751413345337
0,10,0.0,1.8168102502822876
1,10,0.4,1.6971772909164429
2,10,0.2,1.8342691659927368
3,10,0.4,1.7055552005767822
4,10,0.4,1.6426734924316406
5,10,0.0,1.9109474420547485
6,10,0.4,1.8143577575683594
7,10,0.2,1.8037874698638916
8,10,0.4,1.7889184951782227
9,10,0.2,1.9295260906219482
10,10,0.2,1.6947273015975952
11,10,0.2,1.7800331115722656
12,10,0.2,1.8583523035049438
13,10,0.0,1.8057596683502197
14,10,0.0,1.8878791332244873
15,10,0.2,1.8726332187652588
16,10,0.0,1.8316152095794678
17,10,0.2,1.8285748958587646
18,10,0.2,1.794661283493042
19,10,0.2,1.7873594760894775
0,11,0.0,1.8514305353164673
1,11,0.4,1.7021942138671875
2,11,0.4,1.7257229089736938
3,11,0.2,1.8087927103042603
4,11,0.0,1.9218146800994873
5,11,0.6,1.690069556236267
6,11,0.2,1.7842042446136475
7,11,0.2,1.7336695194244385
8,11,0.2,1.741154432296753
9,11,0.2,1.7089385986328125
10,11,0.4,1.6476558446884155
11,11,0.2,1.8560473918914795
12,11,0.6,1.6787147521972656
13,11,0.4,1.7262170314788818
14,11,0.6,1.6342445611953735
15,11,0.4,1.669181227684021
16,11,0.2,1.7118966579437256
17,11,0.2,1.802777886390686
18,11,0.0,1.889611840248108
19,11,0.2,1.750448226928711
0,12,0.2,1.728885293006897
1,12,0.6,1.6349859237670898
2,12,0.0,1.7374765872955322
3,12,0.4,1.7121835947036743
4,12,0.4,1.6731452941894531
5,12,0.2,1.756155014038086
6,12,0.0,1.9111484289169312
7,12,0.6,1.5865349769592285
8,12,0.2,1.9035851955413818
9,12,0.0,1.9416942596435547
10,12,0.0,1.8786433935165405
11,12,0.4,1.725385308265686
12,12,0.2,1.7645275592803955
13,12,0.4,1.7109365463256836
14,12,0.2,1.7752918004989624
15,12,0.2,1.8008477687835693
16,12,0.6,1.6435785293579102
17,12,0.2,1.8275642395019531
18,12,0.6,1.6064379215240479
19,12,0.2,1.7144676446914673
0,13,0.2,1.8149207830429077
1,13,0.0,1.8659889698028564
2,13,0.4,1.7206251621246338
3,13,0.2,1.698083519935608
4,13,0.2,1.8075220584869385
5,13,0.2,1.7993217706680298
6,13,0.0,1.8907155990600586
7,13,0.4,1.7597945928573608
8,13,0.0,1.7907512187957764
9,13,0.2,1.7401974201202393
10,13,0.0,1.868959665298462
11,13,0.6,1.7038341760635376
12,13,0.2,1.687936782836914
13,13,0.0,1.8559272289276123
14,13,0.0,1.8516550064086914
15,13,0.2,1.7726291418075562
16,13,0.6,1.5000139474868774
17,13,0.2,1.777740240097046
18,13,0.0,1.7885574102401733
19,13,0.0,1.8387092351913452
0,14,0.4,1.7258679866790771
1,14,0.0,1.8646135330200195
2,14,0.4,1.6230504512786865
3,14,0.0,1.8421272039413452
4,14,0.2,1.711897611618042
5,14,0.0,1.8016777038574219
6,14,0.2,1.7918174266815186
7,14,0.2,1.8549621105194092
8,14,0.2,1.8114299774169922
9,14,0.2,1.7023327350616455
10,14,0.4,1.7457554340362549
11,14,0.2,1.9626948833465576
12,14,0.2,1.8624534606933594
13,14,0.0,1.9046379327774048
14,14,0.2,1.7300121784210205
15,14,0.0,1.8777294158935547
16,14,0.0,1.8191769123077393
17,14,0.0,1.8389047384262085
18,14,0.2,1.6875689029693604
19,14,0.0,1.9817756414413452
0,15,0.4,1.7176433801651
1,15,0.0,1.8888905048370361
2,15,0.6,1.5979173183441162
3,15,0.4,1.826432466506958
4,15,0.2,1.8929355144500732
5,15,0.4,1.698764443397522
6,15,0.0,1.796661376953125
7,15,0.6,1.6327797174453735
8,15,0.4,1.787278413772583
9,15,0.0,1.802011251449585
10,15,0.0,1.9245507717132568
11,15,0.2,1.841787338256836
12,15,0.0,1.8164106607437134
13,15,0.2,1.6338039636611938
14,15,0.4,1.802189826965332
15,15,0.0,1.9052597284317017
16,15,0.2,1.7173750400543213
17,15,0.2,1.858694076538086
18,15,0.6,1.5437967777252197
19,15,0.4,1.5204721689224243
0,16,0.2,1.781638503074646
1,16,0.0,1.8951879739761353
2,16,0.4,1.794220209121704
3,16,0.4,1.7731616497039795
4,16,0.2,1.7883285284042358
5,16,0.2,1.734975814819336
6,16,0.4,1.7688267230987549
7,16,0.8,1.6023874282836914
8,16,0.0,1.8217169046401978
9,16,0.0,1.7896438837051392
10,16,0.4,1.7273591756820679
11,16,0.4,1.7635034322738647
12,16,0.2,1.855189561843872
13,16,0.2,1.7957277297973633
14,16,0.0,1.8721516132354736
15,16,0.4,1.7086197137832642
16,16,0.0,1.9249560832977295
17,16,0.2,1.8773071765899658
18,16,0.2,1.897411584854126
19,16,0.4,1.8103843927383423
0,17,0.0,1.9733632802963257
1,17,0.0,1.7633464336395264
