Client,Round,Accuracy,Loss
client_5,1,0.4533333333333333,8.82044541835785
client_18,1,0.4483333333333333,8.818660616874695
client_11,1,0.45,8.81722342967987
client_4,1,0.4716666666666667,8.815958261489868
client_0,1,0.4583333333333333,8.81451153755188
client_17,1,0.48333333333333334,8.815137028694153
client_14,1,0.475,8.816209435462952
client_7,1,0.45,8.816396117210388
client_13,1,0.45,8.81702172756195
client_3,1,0.46166666666666667,8.815833449363708
client_8,1,0.4866666666666667,8.817731499671936
client_10,1,0.45166666666666666,8.814825654029846
client_6,1,0.43666666666666665,8.819259881973267
client_1,1,0.48,8.81528627872467
client_15,1,0.435,8.820412397384644
client_19,1,0.45166666666666666,8.815650820732117
client_2,1,0.475,8.819000124931335
client_12,1,0.47,8.814967036247253
client_16,1,0.465,8.816446900367737
client_9,1,0.4533333333333333,8.818307280540466
client_2,2,1.0,8.26438295841217
client_7,2,1.0,8.261428594589233
client_1,2,1.0,8.264612674713135
client_15,2,1.0,8.266945481300354
client_4,2,1.0,8.266288757324219
client_11,2,1.0,8.261598825454712
client_10,2,1.0,8.266116261482239
client_13,2,1.0,8.268690347671509
client_8,2,1.0,8.264955878257751
client_14,2,1.0,8.267722249031067
client_18,2,1.0,8.267721891403198
client_16,2,1.0,8.268749475479126
client_12,2,1.0,8.268866419792175
client_3,2,1.0,8.26738440990448
client_6,2,1.0,8.26912522315979
client_19,2,1.0,8.270214319229126
client_9,2,1.0,8.269402861595154
client_5,2,1.0,8.26486361026764
client_17,2,1.0,8.268630862236023
client_0,2,1.0,8.263620495796204
client_10,3,1.0,7.561285138130188
client_11,3,1.0,7.559393525123596
client_2,3,1.0,7.560245752334595
client_9,3,1.0,7.560706973075867
client_12,3,1.0,7.560039162635803
client_0,3,1.0,7.562942266464233
client_18,3,1.0,7.553242087364197
client_6,3,1.0,7.5494385957717896
client_17,3,1.0,7.555180907249451
client_3,3,1.0,7.55773663520813
client_13,3,1.0,7.557788133621216
client_8,3,1.0,7.54918098449707
client_1,3,1.0,7.556993365287781
client_19,3,1.0,7.558836221694946
client_4,3,1.0,7.551900029182434
client_5,3,1.0,7.558758735656738
client_16,3,1.0,7.556399941444397
client_7,3,1.0,7.553828001022339
client_14,3,1.0,7.5557109117507935
