Client,Round,Accuracy,Loss
client_6,1,0.285,3.563932418823242
client_5,1,0.345,3.560229182243347
client_11,1,0.31,3.5632076263427734
client_19,1,0.29,3.5663609504699707
client_17,1,0.275,3.567213773727417
client_14,1,0.31,3.556381106376648
client_12,1,0.28,3.5652042627334595
client_7,1,0.32,3.560552954673767
client_10,1,0.34,3.5592230558395386
client_9,1,0.265,3.565261721611023
client_13,1,0.31,3.5604697465896606
client_4,1,0.33,3.559822201728821
client_0,1,0.35,3.560653567314148
client_2,1,0.33,3.554374575614929
client_15,1,0.29,3.563339114189148
client_3,1,0.335,3.5601636171340942
client_16,1,0.295,3.57087779045105
client_1,1,0.265,3.5643324851989746
client_8,1,0.235,3.572722315788269
client_18,1,0.295,3.5607073307037354
client_14,2,0.255,3.5305315256118774
client_19,2,0.25,3.536044716835022
client_17,2,0.225,3.5427359342575073
client_7,2,0.25,3.542288303375244
client_0,2,0.315,3.5311949253082275
client_8,2,0.285,3.531781792640686
client_1,2,0.24,3.5408321619033813
client_4,2,0.305,3.542938232421875
client_15,2,0.245,3.541284441947937
client_18,2,0.27,3.534953236579895
client_3,2,0.25,3.5372689962387085
client_16,2,0.305,3.5364381074905396
client_10,2,0.27,3.531826615333557
client_9,2,0.3,3.5312758684158325
client_11,2,0.295,3.5290162563323975
client_12,2,0.265,3.537859320640564
client_13,2,0.34,3.5277414321899414
client_6,2,0.225,3.5428155660629272
client_5,2,0.26,3.5413691997528076
client_2,2,0.33,3.524690628051758
client_4,3,0.325,3.5425498485565186
client_16,3,0.27,3.5565680265426636
client_13,3,0.325,3.5358293056488037
client_11,3,0.365,3.521676182746887
client_10,3,0.325,3.5386672019958496
client_15,3,0.415,3.4988231658935547
client_17,3,0.305,3.5447453260421753
client_5,3,0.395,3.4987324476242065
client_6,3,0.31,3.5278252363204956
client_8,3,0.33,3.547837734222412
client_7,3,0.31,3.5423831939697266
client_19,3,0.34,3.5366153717041016
client_9,3,0.315,3.5257538557052612
client_0,3,0.34,3.5271825790405273
client_2,3,0.345,3.5298221111297607
client_12,3,0.375,3.5291727781295776
client_14,3,0.37,3.516239047050476
client_3,3,0.31,3.5553711652755737
client_18,3,0.33,3.5315667390823364
client_1,3,0.245,3.566905379295349
client_5,4,0.355,3.4462509155273438
client_17,4,0.31,3.492020606994629
client_3,4,0.285,3.514534831047058
client_14,4,0.335,3.4444838762283325
client_2,4,0.37,3.436808228492737
client_4,4,0.365,3.4664177894592285
client_7,4,0.375,3.4232633113861084
client_19,4,0.315,3.4652010202407837
client_9,4,0.315,3.4716460704803467
client_1,4,0.295,3.4984325170516968
client_12,4,0.325,3.4731619358062744
client_15,4,0.415,3.401045799255371
client_6,4,0.3,3.5029220581054688
client_10,4,0.325,3.4926010370254517
client_0,4,0.34,3.4289673566818237
client_13,4,0.29,3.476761221885681
client_11,4,0.375,3.44534969329834
client_18,4,0.315,3.494265913963318
client_16,4,0.355,3.4414080381393433
client_8,4,0.37,3.4282169342041016
client_10,5,0.41,3.4195815324783325
client_4,5,0.47,3.412485361099243
client_11,5,0.48,3.350401997566223
client_13,5,0.43,3.4388201236724854
client_3,5,0.445,3.4300596714019775
client_6,5,0.415,3.4122618436813354
client_0,5,0.44,3.414528250694275
client_17,5,0.42,3.4220328330993652
client_1,5,0.385,3.463724732398987
client_14,5,0.4,3.435449957847595
client_19,5,0.5,3.2861955165863037
client_18,5,0.465,3.4296979904174805
client_16,5,0.48,3.3822444677352905
client_2,5,0.455,3.3948261737823486
client_8,5,0.425,3.400913119316101
client_5,5,0.495,3.3533674478530884
client_9,5,0.445,3.3800710439682007
client_7,5,0.51,3.345133066177368
client_12,5,0.49,3.3298932313919067
client_15,5,0.385,3.450511932373047
client_15,6,0.42,3.214117646217346
client_16,6,0.445,3.1859787702560425
client_13,6,0.37,3.35749614238739
client_5,6,0.46,3.176352024078369
client_14,6,0.37,3.3352837562561035
client_2,6,0.38,3.313833236694336
client_4,6,0.4,3.3200360536575317
client_9,6,0.44,3.3124669790267944
client_1,6,0.4,3.366653084754944
client_11,6,0.42,3.2545348405838013
client_8,6,0.39,3.2752076387405396
client_3,6,0.41,3.2120635509490967
client_18,6,0.45,3.210566759109497
client_7,6,0.44,3.195422887802124
client_17,6,0.415,3.2027201652526855
client_6,6,0.41,3.3096882104873657
client_10,6,0.465,3.2303967475891113
client_0,6,0.425,3.235917091369629
client_12,6,0.425,3.183623194694519
client_19,6,0.395,3.2672982215881348
