Client,Round,Accuracy,Loss
client_5,1,0.35,3.511932373046875
client_4,1,0.39,3.501439690589905
client_8,1,0.41,3.4936416149139404
client_17,1,0.34,3.513579487800598
client_19,1,0.475,3.4736344814300537
client_11,1,0.37,3.511941432952881
client_2,1,0.41,3.493855118751526
client_14,1,0.395,3.4875385761260986
client_12,1,0.43,3.4904855489730835
client_0,1,0.41,3.4957363605499268
client_1,1,0.425,3.4908403158187866
client_3,1,0.41,3.488911747932434
client_15,1,0.44,3.490765333175659
client_18,1,0.395,3.4994075298309326
client_16,1,0.415,3.4889694452285767
client_13,1,0.35,3.508590579032898
client_9,1,0.42,3.4865955114364624
client_7,1,0.385,3.495036482810974
client_6,1,0.415,3.4968684911727905
client_10,1,0.435,3.484377384185791
client_0,2,0.305,3.503304123878479
client_16,2,0.355,3.483980655670166
client_13,2,0.36,3.479138731956482
client_9,2,0.26,3.503943920135498
client_18,2,0.355,3.479766011238098
client_14,2,0.335,3.4758867025375366
client_1,2,0.315,3.497462511062622
client_2,2,0.31,3.485584259033203
client_12,2,0.295,3.506024479866028
client_15,2,0.3,3.497977137565613
client_11,2,0.315,3.5043511390686035
client_5,2,0.32,3.4908450841903687
client_8,2,0.31,3.5105979442596436
client_6,2,0.325,3.47528338432312
client_4,2,0.35,3.4751343727111816
client_17,2,0.285,3.508962869644165
client_3,2,0.325,3.512505292892456
client_19,2,0.335,3.4771838188171387
client_10,2,0.32,3.4826724529266357
client_7,2,0.3,3.4916982650756836
client_12,3,0.275,3.48420786857605
client_10,3,0.295,3.430503487586975
client_8,3,0.255,3.427244544029236
client_16,3,0.265,3.464175224304199
client_19,3,0.36,3.397583484649658
client_13,3,0.26,3.5095702409744263
client_18,3,0.29,3.49456250667572
client_9,3,0.315,3.461063861846924
client_0,3,0.24,3.489189028739929
client_11,3,0.3,3.4111690521240234
client_2,3,0.25,3.5019174814224243
client_14,3,0.26,3.497604012489319
client_3,3,0.26,3.520730495452881
client_5,3,0.275,3.4568458795547485
client_17,3,0.315,3.4373549222946167
client_7,3,0.285,3.404322862625122
client_1,3,0.29,3.4454092979431152
client_15,3,0.295,3.495788335800171
client_4,3,0.32,3.400100350379944
client_6,3,0.235,3.4941169023513794
client_3,4,0.42,3.4432047605514526
client_7,4,0.425,3.3560575246810913
client_12,4,0.475,3.286481261253357
client_16,4,0.335,3.4449801445007324
client_6,4,0.47,3.322295904159546
client_5,4,0.385,3.34376060962677
client_13,4,0.44,3.3143491744995117
client_2,4,0.365,3.4410154819488525
client_0,4,0.45,3.380047917366028
client_9,4,0.395,3.4154069423675537
client_17,4,0.355,3.4232219457626343
client_15,4,0.435,3.3315281867980957
client_8,4,0.365,3.456151008605957
client_18,4,0.425,3.3450162410736084
client_11,4,0.42,3.3000258207321167
client_4,4,0.425,3.3684613704681396
client_1,4,0.375,3.4192330837249756
client_19,4,0.425,3.3966472148895264
client_10,4,0.39,3.3737645149230957
client_14,4,0.41,3.3905574083328247
client_14,5,0.32,3.4164040088653564
