Client,Round,Accuracy,Loss
0,1,0.13,3.55832517147064
0,2,0.44,3.51077747344971
0,3,0.285,3.48391473293304
0,4,0.325,3.42590343952179
0,5,0.425,3.22605299949646
0,6,0.45,3.2064094543457
0,7,0.49,2.81408774852753
0,8,0.515,2.47334420681
0,9,0.6,1.99226742982864
0,10,0.765,1.5367596745491
1,1,0.175,3.55284082889557
1,2,0.43,3.51505649089813
1,3,0.26,3.45626151561737
1,4,0.305,3.34482526779175
1,5,0.34,3.34556639194489
1,6,0.395,3.28066170215607
1,7,0.555,2.7509640455246
1,8,0.53,2.4928263425827
1,9,0.585,2.02714478969574
1,10,0.755,1.50189018249512
2,1,0.225,3.55495619773865
2,2,0.42,3.52377223968506
2,3,0.265,3.46771943569183
2,4,0.31,3.42284059524536
2,5,0.36,3.25873839855194
2,6,0.49,3.05540907382965
2,7,0.44,3.11707520484924
2,8,0.5,2.56983470916748
2,9,0.575,1.98548269271851
2,10,0.795,1.46759617328644
3,1,0.155,3.56087720394135
3,2,0.4,3.53202366828918
3,3,0.23,3.54079174995422
3,4,0.275,3.46607577800751
3,5,0.32,3.334223985672
3,6,0.42,3.19489145278931
3,7,0.45,2.9738107919693
3,8,0.465,2.63976037502289
3,9,0.565,2.09867441654205
3,10,0.675,1.59890735149384
4,1,0.17,3.55542707443237
4,2,0.41,3.5228328704834
4,3,0.275,3.47199892997742
4,4,0.275,3.42669034004211
4,5,0.35,3.25421965122223
4,6,0.43,3.19989264011383
4,7,0.45,2.92156577110291
4,8,0.495,2.53889358043671
4,9,0.605,1.96230351924896
4,10,0.725,1.49042189121246
5,1,0.16,3.56031322479248
5,2,0.395,3.52798867225647
5,3,0.28,3.46892464160919
5,4,0.305,3.4159163236618
5,5,0.39,3.27964925765991
5,6,0.415,3.23864686489105
5,7,0.52,2.83504140377045
5,8,0.505,2.55807280540466
5,9,0.59,2.02157831192017
5,10,0.83,1.34748548269272
6,1,0.175,3.55765676498413
6,2,0.435,3.53060150146484
6,3,0.29,3.47598624229431
6,4,0.285,3.34606456756592
6,5,0.34,3.38143837451935
6,6,0.43,3.15206301212311
6,7,0.51,2.7586385011673
6,8,0.505,2.55341148376465
6,9,0.595,1.90375655889511
6,10,0.785,1.50799453258514
7,1,0.16,3.56582951545715
7,2,0.46,3.50415289402008
7,3,0.26,3.47100794315338
7,4,0.29,3.40267908573151
7,5,0.305,3.43752539157867
7,6,0.47,3.05970346927643
7,7,0.49,2.93531429767609
