Client,Round,Accuracy,Loss
0,1,0.18,3.57137155532837
0,2,0.395,3.54949951171875
0,3,0.34,3.55735194683075
0,4,0.305,3.44490921497345
0,5,0.3,3.45302724838257
0,6,0.38,3.24695241451263
0,7,0.48,2.85184717178345
0,8,0.48,2.54002797603607
0,9,0.525,2.21983730792999
0,10,0.765,1.54431474208832
1,1,0.17,3.56616902351379
1,2,0.385,3.53254652023315
1,3,0.405,3.49909567832947
1,4,0.325,3.45687460899353
1,5,0.3,3.36647176742554
1,6,0.35,3.26050114631653
1,7,0.46,2.85630631446838
1,8,0.465,2.56361973285675
1,9,0.625,2.02016764879227
1,10,0.79,1.47509163618088
2,1,0.17,3.57019174098969
2,2,0.38,3.54941236972809
2,3,0.335,3.50174999237061
2,4,0.405,3.32284283638001
2,5,0.3,3.3881641626358
2,6,0.355,3.28136956691742
2,7,0.44,2.94206440448761
2,8,0.53,2.3977712392807
2,9,0.645,1.83441966772079
2,10,0.8,1.56118714809418
3,1,0.16,3.57259500026703
3,2,0.39,3.53852999210358
3,3,0.35,3.53977203369141
3,4,0.295,3.45488715171814
3,5,0.345,3.2668536901474
3,6,0.41,3.09745168685913
3,7,0.48,2.87549448013306
3,8,0.54,2.42533218860626
3,9,0.56,2.16760993003845
3,10,0.815,1.49069362878799
4,1,0.17,3.56487560272217
4,2,0.355,3.55392980575562
4,3,0.375,3.47860419750214
4,4,0.35,3.45936977863312
4,5,0.3,3.3373544216156
4,6,0.35,3.2715368270874
4,7,0.365,3.1323664188385
4,8,0.505,2.3632538318634
4,9,0.59,2.10280573368073
4,10,0.835,1.36701244115829
5,1,0.14,3.57264685630798
5,2,0.38,3.54133570194244
5,3,0.34,3.50098097324371
5,4,0.37,3.38525569438934
5,5,0.25,3.52117788791657
5,6,0.405,3.14151978492737
5,7,0.4,3.08504951000214
5,8,0.51,2.51127302646637
5,9,0.66,1.89368081092834
5,10,0.81,1.44931888580322
6,1,0.17,3.56701421737671
6,2,0.38,3.55236148834229
6,3,0.36,3.50429916381836
6,4,0.365,3.42118310928345
6,5,0.275,3.49273633956909
6,6,0.32,3.32468235492706
6,7,0.46,2.86286735534668
6,8,0.5,2.50819909572601
6,9,0.57,2.1446447968483
6,10,0.805,1.53855526447296
7,1,0.155,3.57278883457184
7,2,0.34,3.54497706890106
7,3,0.385,3.46177470684052
7,4,0.21,3.59348130226135
7,5,0.345,3.3080198764801
7,6,0.415,3.17361462116241
7,7,0.42,3.03047013282776
7,8,0.5,2.48485791683197
7,9,0.59,2.02812063694
7,10,0.85,1.52830326557159
8,1,0.155,3.57129001617432
8,2,0.365,3.54666900634766
8,3,0.325,3.5166449546814
8,4,0.35,3.44981634616852
8,5,0.305,3.37897181510925
8,6,0.395,3.08405494689941
8,7,0.46,2.85511600971222
8,8,0.46,2.65125215053558
8,9,0.595,2.12619417905808
8,10,0.83,1.49462366104126
9,1,0.15,3.57242512702942
9,2,0.29,3.58189678192139
9,3,0.305,3.5683228969574
9,4,0.355,3.45127141475678
9,5,0.275,3.38229954242706
9,6,0.37,3.20906150341034
9,7,0.45,3.05385196208954
9,8,0.505,2.52144396305084
9,9,0.625,2.10312634706497
9,10,0.855,1.39446985721588
10,1,0.24,3.55332970619202
10,2,0.34,3.5699725151062
10,3,0.345,3.50143349170685
10,4,0.31,3.51511788368225
10,5,0.25,3.39717757701874
10,6,0.395,3.21770966053009
10,7,0.415,3.04049098491669
10,8,0.475,2.61338531970978
10,9,0.66,1.90205234289169
10,10,0.885,1.39251798391342
11,1,0.19,3.56487154960632
11,2,0.34,3.58220541477203
11,3,0.375,3.52601504325867
11,4,0.285,3.47653591632843
11,5,0.27,3.42883384227753
11,6,0.4,3.1246246099472
11,7,0.455,2.96171772480011
11,8,0.485,2.60679519176483
11,9,0.645,1.87674117088318
11,10,0.73,1.65334582328796
12,1,0.165,3.57036674022675
12,2,0.28,3.59949088096619
12,3,0.35,3.57022154331207
12,4,0.315,3.4238246679306
12,5,0.385,3.16963136196136
12,6,0.385,3.14640438556671
12,7,0.48,2.85041809082031
12,8,0.505,2.50857436656952
12,9,0.61,2.12746214866638
12,10,0.82,1.44797825813293
13,1,0.145,3.5726090669632
13,2,0.375,3.53664124011993
13,3,0.425,3.43608319759369
13,4,0.26,3.41953933238983
13,5,0.265,3.46659219264984
13,6,0.34,3.12707579135895
13,7,0.46,2.94493448734283
13,8,0.495,2.49802041053772
13,9,0.61,1.98692047595978
13,10,0.85,1.35489636659622
14,1,0.205,3.56272304058075
14,2,0.39,3.5380243062973
14,3,0.365,3.5425922870636
14,4,0.355,3.38355445861816
14,5,0.345,3.29364848136902
14,6,0.36,3.29671263694763
14,7,0.47,2.79150426387787
14,8,0.54,2.41246473789215
14,9,0.63,1.98372375965118
14,10,0.79,1.66465228796005
15,1,0.16,3.56984913349152
15,2,0.4,3.55485653877258
15,3,0.34,3.55411648750305
15,4,0.27,3.54431891441345
15,5,0.325,3.31453514099121
15,6,0.35,3.21126961708069
15,7,0.455,2.89970886707306
15,8,0.435,2.65697765350342
15,9,0.695,1.6885878443718
15,10,0.845,1.44837272167206
16,1,0.185,3.56751096248627
16,2,0.41,3.53507936000824
16,3,0.36,3.47017228603363
16,4,0.365,3.44135737419128
16,5,0.275,3.52428579330444
16,6,0.31,3.39056134223938
16,7,0.46,2.87288236618042
16,8,0.5,2.56504142284393
16,9,0.585,2.08693611621857
16,10,0.845,1.48594039678574
17,1,0.155,3.57383942604065
17,2,0.38,3.5409677028656
17,3,0.34,3.538081407547
17,4,0.285,3.461953997612
17,5,0.255,3.48680019378662
17,6,0.395,3.06924974918366
17,7,0.5,2.83750450611115
17,8,0.475,2.54815375804901
17,9,0.655,1.98821949958801
17,10,0.785,1.53690469264984
18,1,0.14,3.57353007793427
18,2,0.315,3.59370005130768
18,3,0.375,3.49152994155884
18,4,0.335,3.41927075386047
18,5,0.295,3.40808486938477
18,6,0.345,3.33703064918518
18,7,0.485,2.72070050239563
18,8,0.5,2.5797837972641
18,9,0.6,2.07845401763916
18,10,0.84,1.46488070487976
19,1,0.195,3.56256449222565
19,2,0.415,3.52591347694397
19,3,0.35,3.51549863815308
19,4,0.265,3.47571647167206
19,5,0.285,3.42271971702576
19,6,0.375,3.2192724943161
19,7,0.465,2.8624027967453
19,8,0.48,2.56302642822266
19,9,0.6,1.93388074636459
19,10,0.815,1.58146232366562
