Client,Round,Accuracy,Loss
0,1,0.0,1.8118231296539307
1,1,0.0,1.8017829656600952
2,1,0.0,1.7972294092178345
3,1,0.0,1.79873788356781
4,1,0.0,1.8001747131347656
5,1,0.0,1.7901391983032227
6,1,0.2,1.77214777469635
7,1,0.0,1.8093217611312866
8,1,0.0,1.7829358577728271
9,1,0.2,1.7875921726226807
10,1,0.0,1.7963374853134155
11,1,0.0,1.7877769470214844
12,1,0.2,1.7918739318847656
13,1,0.2,1.801314353942871
14,1,0.0,1.8064416646957397
15,1,0.2,1.7669645547866821
16,1,0.2,1.7723133563995361
17,1,0.2,1.7805633544921875
18,1,0.2,1.7807483673095703
19,1,0.2,1.7576217651367188
0,2,0.2,1.7656850814819336
1,2,0.2,1.7844555377960205
2,2,0.4,1.7548248767852783
3,2,0.2,1.7886888980865479
4,2,0.4,1.7715530395507812
5,2,0.2,1.7930504083633423
6,2,0.2,1.7686641216278076
7,2,0.4,1.7480487823486328
8,2,0.0,1.7873224020004272
9,2,0.4,1.7720775604248047
10,2,0.2,1.8112589120864868
11,2,0.0,1.8117930889129639
12,2,0.2,1.7581192255020142
13,2,0.2,1.8047996759414673
14,2,0.0,1.7958099842071533
15,2,0.2,1.8099390268325806
16,2,0.0,1.8008091449737549
17,2,0.0,1.8180643320083618
18,2,0.2,1.7247178554534912
19,2,0.0,1.753719687461853
0,3,0.2,1.7664626836776733
1,3,0.0,1.8334468603134155
2,3,0.2,1.8320108652114868
3,3,0.2,1.8180173635482788
4,3,0.0,1.8288109302520752
5,3,0.2,1.7528154850006104
6,3,0.4,1.7248942852020264
7,3,0.4,1.7408109903335571
8,3,0.0,1.84519362449646
9,3,0.2,1.80801260471344
10,3,0.4,1.6824899911880493
11,3,0.0,1.7750532627105713
12,3,0.0,1.7956184148788452
13,3,0.6,1.7496839761734009
14,3,0.2,1.855417251586914
15,3,0.2,1.798234224319458
16,3,0.2,1.7525804042816162
17,3,0.0,1.7487385272979736
18,3,0.0,1.8400795459747314
19,3,0.0,1.8203747272491455
0,4,0.6,1.686192512512207
1,4,0.2,1.7686322927474976
2,4,0.0,1.7365131378173828
3,4,0.2,1.7542043924331665
4,4,0.0,1.6887109279632568
5,4,0.2,1.726402997970581
6,4,0.2,1.8114204406738281
7,4,0.0,1.7983163595199585
8,4,0.2,1.7498705387115479
9,4,0.4,1.7830203771591187
10,4,0.2,1.8852933645248413
11,4,0.0,1.8162904977798462
12,4,0.0,1.8294740915298462
13,4,0.2,1.7995636463165283
14,4,0.2,1.7072060108184814
15,4,0.4,1.7177873849868774
16,4,0.2,1.7121766805648804
17,4,0.2,1.8290207386016846
18,4,0.4,1.7475885152816772
19,4,0.2,1.7867647409439087
0,5,0.0,1.7690353393554688
1,5,0.6,1.6460720300674438
2,5,0.4,1.690723180770874
3,5,0.0,1.792938232421875
4,5,0.4,1.668001413345337
5,5,0.0,1.8516333103179932
6,5,0.2,1.695504903793335
7,5,0.4,1.70163094997406
8,5,0.0,1.861027717590332
9,5,0.4,1.8753039836883545
10,5,0.2,1.7541158199310303
11,5,0.2,1.7738227844238281
12,5,0.2,1.7364799976348877
13,5,0.2,1.7286376953125
14,5,0.6,1.6665098667144775
15,5,0.4,1.6868765354156494
16,5,0.2,1.7445815801620483
17,5,0.0,2.125718593597412
18,5,0.2,1.7631957530975342
19,5,0.8,1.5736067295074463
0,6,0.4,1.7515243291854858
1,6,0.2,1.7425559759140015
2,6,0.0,1.8530315160751343
3,6,0.2,1.833645224571228
4,6,0.6,1.6456596851348877
5,6,0.2,1.7628710269927979
6,6,0.2,1.7840789556503296
7,6,0.6,1.6438095569610596
8,6,0.0,2.0058913230895996
9,6,0.2,1.8699852228164673
10,6,0.0,1.8047736883163452
11,6,0.0,1.8855421543121338
12,6,0.6,1.3952656984329224
13,6,0.2,1.8817403316497803
14,6,0.4,1.6501109600067139
15,6,0.0,1.8157756328582764
16,6,0.4,1.691564917564392
17,6,0.2,1.8478103876113892
18,6,0.2,1.9751774072647095
19,6,0.4,1.8080224990844727
0,7,0.4,1.6982120275497437
1,7,0.4,1.899794340133667
